Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"[Impact of anti-VEGF therapy on the cellular microenvironment in retinal angiogenesis].","/pubmed/25543385","Nakao S.","Nippon Ganka Gakkai Zasshi. 2014 Nov;118(11):943-52. Review. Japanese. ","Nippon Ganka Gakkai Zasshi.  2014","PubMed","citation","PMID:25543385","pubmed","25543385","create date:2014/12/30 | first author:Nakao S",
"The unfolded protein response in retinal vascular diseases: implications and therapeutic potential beyond protein folding.","/pubmed/25529848","Zhang SX, Ma JH, Bhatta M, Fliesler SJ, Wang JJ.","Prog Retin Eye Res. 2015 Mar;45:111-31. doi: 10.1016/j.preteyeres.2014.12.001. Epub 2014 Dec 18. Review.","Prog Retin Eye Res.  2015","PubMed","citation","PMID:25529848 | PMCID:PMC4339403","pubmed","25529848","create date:2014/12/23 | first author:Zhang SX",
"Comparison of the release profile and pharmacokinetics of intact and fragmented dexamethasone intravitreal implants in rabbit eyes.","/pubmed/25411827","Bhagat R, Zhang J, Farooq S, Li XY.","J Ocul Pharmacol Ther. 2014 Dec;30(10):854-8. doi: 10.1089/jop.2014.0082.","J Ocul Pharmacol Ther.  2014","PubMed","citation","PMID:25411827 | PMCID:PMC4259187","pubmed","25411827","create date:2014/11/21 | first author:Bhagat R",
"[Network pharmacology study of mechanism on xuesaitong injection against retinal vein occlusion].","/pubmed/25244768","Wang LL, Zhao XP, Zhao ZY, Fan XH, Li Z.","Zhongguo Zhong Yao Za Zhi. 2014 Jun;39(12):2322-5. Chinese. ","Zhongguo Zhong Yao Za Zhi.  2014","PubMed","citation","PMID:25244768","pubmed","25244768","create date:2014/09/24 | first author:Wang LL",
"Comparison of the efficacy of aflibercept, ranibizumab, and bevacizumab in an RPE/choroid organ culture.","/pubmed/25047874","Klettner A, Recber M, Roider J.","Graefes Arch Clin Exp Ophthalmol. 2014 Oct;252(10):1593-8. doi: 10.1007/s00417-014-2719-y. Epub 2014 Jul 22.","Graefes Arch Clin Exp Ophthalmol.  2014","PubMed","citation","PMID:25047874","pubmed","25047874","create date:2014/07/23 | first author:Klettner A",
"Effects of aflibercept on primary RPE cells: toxicity, wound healing, uptake and phagocytosis.","/pubmed/25034050","Klettner A, Tahmaz N, Dithmer M, Richert E, Roider J.","Br J Ophthalmol. 2014 Oct;98(10):1448-52. doi: 10.1136/bjophthalmol-2014-305105. Epub 2014 Jul 17.","Br J Ophthalmol.  2014","PubMed","citation","PMID:25034050","pubmed","25034050","create date:2014/07/19 | first author:Klettner A",
"Alterations of retinal vasculature in cystathionine-β-synthase heterozygous mice: a model of mild to moderate hyperhomocysteinemia.","/pubmed/25016930","Tawfik A, Markand S, Al-Shabrawey M, Mayo JN, Reynolds J, Bearden SE, Ganapathy V, Smith SB.","Am J Pathol. 2014 Sep;184(9):2573-85. doi: 10.1016/j.ajpath.2014.05.018. Epub 2014 Jul 10.","Am J Pathol.  2014","PubMed","citation","PMID:25016930 | PMCID:PMC4188277","pubmed","25016930","create date:2014/07/16 | first author:Tawfik A",
"Loss of inner retinal neurons after retinal ischemia in rats.","/pubmed/24699380","Schmid H, Renner M, Dick HB, Joachim SC.","Invest Ophthalmol Vis Sci. 2014 Apr 28;55(4):2777-87. doi: 10.1167/iovs.13-13372.","Invest Ophthalmol Vis Sci.  2014","PubMed","citation","PMID:24699380","pubmed","24699380","create date:2014/04/05 | first author:Schmid H",
"An update on intravitreal implants in use for eye disorders.","/pubmed/24696869","Lambiase A, Abdolrahimzadeh S, Recupero SM.","Drugs Today (Barc). 2014 Mar;50(3):239-49. doi: 10.1358/dot.2014.50.3.2103755. Review.","Drugs Today (Barc).  2014","PubMed","citation","PMID:24696869","pubmed","24696869","create date:2014/04/04 | first author:Lambiase A",
"Interleukin-18 has antipermeablity and antiangiogenic activities in the eye: reciprocal suppression with VEGF.","/pubmed/24515951","Shen J, Choy DF, Yoshida T, Iwase T, Hafiz G, Xie B, Hackett SF, Arron JR, Campochiaro PA.","J Cell Physiol. 2014 Aug;229(8):974-83. doi: 10.1002/jcp.24575.","J Cell Physiol.  2014","PubMed","citation","PMID:24515951 | PMCID:PMC4364659","pubmed","24515951","create date:2014/02/12 | first author:Shen J",
